Workout #,Date,Exercise,Sets & Reps,Weight
1,"Aug 18, 2025",Squats,3x8-10,2x20 lb kettlebells
,,Deadlifts,3x8-10,90 lb kettlebell
,,Bent-Over Rows,3x8-10,80 lb barbell
,,Bench Press,3x8-10,"35, 40, 50 lb dumbbells"
,,Overhead Press,3x8-10,20 lb kettlebell
2,"Aug 20, 2025",Goblet Squat,"3x8, 1x10",60 lb kettlebell
,,Deadlift,"2x8, 1x10",115 lb barbell
,,Bench Press,"2x10, 1x6","45, 50, 55 lb dumbbells"
,,Overhead Press,"1x10, 1x4",25 lb dumbbells
,,Pendlay Row,"1x12, 1x10, 1x8","70, 90, 110 lb barbell"
3,"Aug 23, 2025",Goblet Squat,"2x8, 1x10",60 lb kettlebell
,,Deadlift,3x10,115 lb barbell
,,Bench Press,"2x10, 1x8","45, 50, 55 lb dumbbells"
,,Overhead Press,"1x10, 1x8, 1x10","20, 25, 25 lb dumbbells"
,,Pendlay Row,"1x12, 1x10, 1x8","70, 90, 110 lb barbell"
4,"Aug 25, 2025",Goblet Squat,"1x8, 2x10",60 lb kettlebell
,,Deadlift,"1x10, 2x12",100 lb barbell
,,Bench Press,"1x12, 1x10, 1x5","45, 50, 60 lb dumbbells"
,,Overhead Press,"1x10, 1x6, 1x10","20, 30, 25 lb dumbbells"
,,Pendlay Row,"1x12, 2x10","70, 90 lb barbell"
,,Face Pulls,3x10,35 lb cable
5,"Aug 28, 2025",Squats,"1x10, 1x10, 1x10","65, 85, 95 lb barbell"
,,Deadlifts,"2x12, 1x10","115, 135 lb barbell"
,,Bench Press,"1x11, 1x10, 1x8","45, 55, 60 lb dumbbells"
,,Overhead Press,3x10,25 lb dumbbells
,,Seated Row,"1x12, 1x12, 1x10","85, 100, 120 lb cable"
,,Face Pulls,"1x10, 2x12",45 lb cable
6,"Sep 2, 2025",Squats,"1x8, 2x10","95, 115 lb barbell"
,,Deadlifts,"2x12, 1x13","115, 135 lb barbell"
,,Bench Press,"1x12, 1x10, 1x8","50, 55, 60 lb dumbbells"
,,Overhead Press,"1x12, 2x12","25, 30 lb dumbbells"
,,Seated Row,"1x12, 1x12, 1x8","100, 110, 120 lb cable"
,,Face Pulls,"1x12, 2x12","47.5, 52.5 lb cable"
7,"Sep 4, 2025",Deadlifts,"2x12, 1x13, 1x14","115, 135 lb barbell"
,,Bench Press,"1x12, 1x6, 1x8, 1x6","30, 60, 65 lb dumbbells"
,,Squats,"2x8, 1x12",95 lb barbell
,,Overhead Press,3x8,35 lb dumbbells
,,Seated Row,"2x12, 1x10","110, 120 lb cable"
,,Face Pulls,1x12,50 lb cable
